longitude,latitude
-128.3939522,54.6121037
-128.3992606,54.6120627
-128.3915798,54.611899
-128.3981975,54.6119401
-128.4089938,54.6122662
-128.4123397,54.6123887
-128.4128319,54.6123073
-128.411674,54.6121597
-128.4112365,54.6121146
-128.4132149,54.6122191
-128.4107985,54.6120604
-128.4090999,54.6119594
-128.410345,54.6120066
-128.4099546,54.6119695
-128.3994468,54.6115302
-128.3983681,54.6114079
-128.4138194,54.6119382
-128.4091926,54.6116886
-128.412736,54.6117355
-128.4103667,54.6115849
-128.4114856,54.6115987
-128.4120151,54.6116242
-128.4110337,54.6115718
-128.4141774,54.6116892
-128.4092988,54.6113818
-128.3996323,54.6109887
-128.4132667,54.6115189
-128.4104134,54.611324
-128.3985537,54.6108664
-128.4144755,54.6114771
-128.3916299,54.6106341
-128.409392,54.61112
-128.4105527,54.6110523
-128.414788,54.6112469
-128.4094853,54.6108582
-128.3998185,54.6104562
-128.3987398,54.6103339
-128.415117,54.6110342
-128.4106454,54.6107816
-128.4136971,54.6109188
-128.409578,54.6105874
-128.4133784,54.6107816
-128.4154156,54.6108311
-128.4130111,54.6106096
-128.4107365,54.610484
-128.4143037,54.6106737
-128.4096713,54.6103257
-128.400004,54.6099147
-128.4126122,54.6104292
-128.4156815,54.6106018
-128.4145713,54.6104713
-128.3989254,54.6097924
-128.4108582,54.6101768
-128.4159651,54.6104079
-128.4122567,54.6101941
-128.409749,54.6100642
-128.4148399,54.6102867
-128.4136692,54.6101843
-128.4133361,54.6100653
-128.4120584,54.6099919
-128.4162792,54.6102046
-128.4120242,54.6099388
-128.4120242,54.6099388
-128.4151229,54.6100839
-128.4098417,54.6097934
-128.4109162,54.609844
-128.4001741,54.6093736
-128.4130143,54.6098744
-128.399111,54.6092509
-128.415391,54.6098904
-128.4166211,54.6099468
-128.4118683,54.6096639
-128.409935,54.6095316
-128.41068,54.609526
-128.4169202,54.6097527
-128.3838326,54.957315
-128.4115893,54.6094095
-128.4100143,54.609297
-128.4146238,54.60952
-128.4158833,54.609549
-128.4003602,54.608841
-128.4110989,54.6092578
-128.4122183,54.6092806
-128.4171567,54.6095508
-128.414273,54.6093656
-128.3992816,54.6087187
-128.4130869,54.6092635
-128.4139068,54.6092115
-128.4161652,54.6093283
-128.4174252,54.6093662
-128.4132309,54.6090724
-128.4164477,54.6091166
-128.400534,54.6083625
-128.4177238,54.6091631
-128.4152926,54.6090139
-128.414169,54.6089195
-128.4112084,54.6087447
-128.4148638,54.608852
-128.4167302,54.6089048
-128.4120562,54.6086383
-128.4179448,54.6089616
-128.4090491,54.6084644
-128.4136237,54.6086254
-128.3983978,54.6079472
-128.4105766,54.6082999
-128.4170561,54.6086385
-128.418145,54.6086708
-128.3998184,54.6078118
-128.4011067,54.6078045
-128.412703,54.608285
-128.4160182,54.6084169
-128.4155807,54.6083717
-128.4138197,54.608263
-128.4151583,54.6083173
-128.4146738,54.6082641
-128.41789,54.6082993
-128.4166547,54.6081534
-128.4178992,54.6081916
-128.41592,54.6080692
-128.4182409,54.6081938
-128.415482,54.6080151
-128.4003184,54.6073359
-128.4150595,54.6079607
-128.413967,54.6078657
-128.4171441,54.6080272
-128.4178565,54.6079952
-128.4178186,54.6078794
-128.4181117,54.6078467
-128.4127666,54.6075218
-128.4169876,54.6077434
-128.4143373,54.6075626
-128.401945,54.6070082
-128.4177155,54.6077111
-128.4008033,54.6068693
-128.4168369,54.6075581
-128.4176161,54.6076055
-128.4167872,54.6075053
-128.4167846,54.6074606
-128.4179375,54.6075275
-128.4167215,54.6074439
